gene_id,gene_symbol,specificity_score,mean_progenitor_residual,mean_differentiated_residual
ENSG00000151348,EXT2,0.526209670624102,0.02726151851922865,0.024545812362576688
ENSG00000260916,CCPG1,0.5262096117897236,0.03377646995986916,0.03041177214576237
ENSG00000203485,INF2,0.5261552373913191,0.03473677921321021,0.03128324063005007
ENSG00000162624,LHX8,0.5261549519060971,0.0015962076965967697,0.0014375140061339596
ENSG00000130540,SULT4A1,0.526152070859953,0.0008095461568661509,0.0007290701514247455
ENSG00000153904,DDAH1,0.5261511804925425,0.04473371931136633,0.04028693819146402
ENSG00000156675,RAB11FIP1,0.5261138386595842,0.16857859833376146,0.1518436866288629
ENSG00000138386,NAB1,0.5260734553639388,0.034418113362179384,0.031006425761104944
ENSG00000111679,PTPN6,0.5260541183688221,0.10414313517944547,0.09382724760620856
ENSG00000078674,PCM1,0.5260185900437147,0.06172719194570762,0.05562073665236302
ENSG00000198960,ARMCX6,0.526000960505936,0.010814481032238846,0.009745331295550245
ENSG00000064607,SUGP2,0.5259923697572019,0.03790782050351782,0.03416132475996969
ENSG00000141027,NCOR1,0.5259874984632257,0.08353062838729704,0.07527662203471477
ENSG00000179598,PLD6,0.525981956545067,0.0027626130077525123,0.0024896831468510486
ENSG00000201700,SNORD113-3,0.5259810377083661,0.0011820261948258224,0.0010652529085725876
ENSG00000117758,STX12,0.5259667794956555,0.1019909195321433,0.09192041386032195
ENSG00000144230,GPR17,0.5259493207447513,0.0004505909675692621,0.0004061283964394588
ENSG00000199080,MIR133B,0.5259191373370237,3.83794640680206e-06,3.459651520961875e-06
ENSG00000136141,LRCH1,0.52590476401632,0.07176886207253684,0.06469854986805872
ENSG00000074935,TUBE1,0.5258853710241789,0.012610553384886392,0.011369108495281388
ENSG00000119535,CSF3R,0.5258833409261742,0.17984354326614632,0.16214018063240845
ENSG00000162585,FAAP20,0.5258613838014059,0.042726645177530956,0.03852413020487834
ENSG00000129538,RNASE1,0.5258422901949268,0.285508138515962,0.2574457924242933
ENSG00000172201,ID4,0.5258240555406435,0.06994063826261317,0.0630708463312238
ENSG00000214160,ALG3,0.5258078958267516,0.028006819666020387,0.025257537693969417
ENSG00000169118,CSNK1G1,0.5257835745690702,0.010863565992652804,0.009798102644593106
ENSG00000200075,ENSG00000200075,0.5257698356373757,0.0009348436785097655,0.0008432037010560124
ENSG00000142733,MAP3K6,0.5257623531278174,0.01420587083655705,0.012813695612133658
ENSG00000176390,CRLF3,0.5257617585957981,0.044163855387772996,0.03983589291215204
ENSG00000162723,SLAMF9,0.5257557932851543,0.016949474241169847,0.015288828137320461
ENSG00000260286,ARMH2,0.5257539777682132,0.0008917934041725811,0.000804424678585781
ENSG00000174282,ZBTB4,0.5257391636778206,0.02971026311269349,0.02680115008478385
ENSG00000002330,BAD,0.525735899259478,0.03309865454581891,0.02985815436230362
ENSG00000180878,C11orf42,0.5257176944610344,0.0005214604590352897,0.0004704415913035157
ENSG00000177685,CRACR2B,0.5257039977580145,0.048286325539822116,0.043564460731064646
ENSG00000176049,JAKMIP2,0.525699029654443,0.018520731819237832,0.016709943480680518
ENSG00000162104,ADCY9,0.5256831394562349,0.035933013497803944,0.03242187712123502
ENSG00000041988,THAP3,0.5256791274923261,0.01757395298079654,0.01585699769177526
ENSG00000179902,CFAP276,0.5256343466564142,0.0007471953105860191,0.0006743162693534675
ENSG00000111644,ACRBP,0.5255959852609481,0.009281893027006076,0.008377855691199598
ENSG00000111737,RAB35,0.5255930262700121,0.022442030648095433,0.020256463293805396
ENSG00000133958,UNC79,0.5255836749687337,0.009572784984253397,0.008640841960728998
ENSG00000204315,FKBPL,0.5255341635228379,0.004779952809909466,0.004315465036701654
ENSG00000079557,AFM,0.5255075329237153,0.039613633082470755,0.03576803245156302
ENSG00000144895,EIF2A,0.5254556041323697,0.05562082901664256,0.05023174649919661
