cell_type,rigidity_score,avg_mean_expr,hk_ratio_human,hk_ratio_mouse,lineage,is_progenitor,n_active_tfs_human,n_active_tfs_mouse,entropy_human,entropy_mouse,mean_interdonor_var,human_count,mouse_count,min_count,mean_phastCons,n_genes_detected,cell_cycle_fraction,within_type_heterogeneity,tissue_breadth,n_marker_genes,mean_marker_seq_divergence,n_markers_with_dnds,germ_layer,is_endoderm,is_ectoderm,mean_hk_ratio,mean_n_active_tfs,mean_entropy,log_min_count
intermediate monocyte,8.427981918508479,0.1651194234192456,2.1078495471068934,2.705219897829096,Immune,False,249.0,159.0,7.742575758423246,7.629045363505021,166.0253944396973,5478,1761,1761,0.1513810308595754,7737.0,0.087,213.73231506347656,15.0,1282.0,17.9380265,100.0,mesoderm,0,0,2.4065347224679945,204.0,7.685810560964134,3.245759355967277
mature NK T cell,8.274657171711656,0.1518884359460391,2.171283966265564,2.9105304987519363,Immune,False,235.0,153.0,7.690221368858917,7.601058430591608,187.68590545654297,5394,3161,3161,0.1364746058607708,6539.0,0.412,230.30043029785156,22.0,818.0,15.883908000000002,100.0,mesoderm,0,0,2.54090723250875,194.0,7.645639899725262,3.49982449583958
adventitial cell,8.080287157455897,0.1678322998872511,2.139145249010066,2.3543629105148547,Stromal,False,229.0,185.0,7.727296788932732,7.66729545780295,260.2323226928711,1045,815,815,0.2406254084477708,8511.0,0.13875598086124402,309.3155822753906,3.0,1410.0,16.1080205,100.0,mesoderm,0,0,2.2467540797624603,207.0,7.697296123367842,2.9111576087399764
granulocyte,7.932484886776578,0.1161363020729371,1.81724284253625,2.4954072466431376,Immune,False,247.0,152.0,7.694129450353455,7.590710772201902,470.6174621582031,769,15562,769,0.1396138439031387,4746.0,0.2613784135240572,552.2992553710938,4.0,855.0,12.719539,100.0,mesoderm,0,0,2.1563250445896935,199.5,7.642420111277678,2.885926339801431
fibroblast,7.507949833964307,0.1704692689356589,2.0370105252529913,2.4135335130401137,Stromal,False,241.0,196.0,7.737668451146746,7.635676320791877,266.70179748535156,83338,3143,3143,0.2010297585502217,8601.0,0.0655,254.20993041992188,20.0,1494.0,13.773273500000002,100.0,mesoderm,0,0,2.2252720191465523,218.5,7.686672385969311,3.49734438101758
bladder urothelial cell,7.398116962180861,0.1872931702849714,2.0587942062978404,2.721964180562221,Epithelial,False,249.0,163.0,7.749063890609355,7.551013142264159,236.5595245361328,27241,6651,6651,0.157609237922961,9386.0,0.051,222.72433471679688,1.0,2000.0,15.6500855,100.0,endoderm,1,0,2.3903791934300305,206.0,7.650038516436757,3.8228869478341507
pancreatic ductal cell,6.787640090303802,0.18933021434556,1.9310981473759523,2.6058868716962573,Epithelial,False,239.0,164.0,7.697949725958497,7.595919724100435,229.5621795654297,2721,651,651,0.1627798153465983,9886.0,0.0915,232.29742431640625,1.0,2471.0,16.064669,100.0,endoderm,1,0,2.268492509536105,201.5,7.646934725029466,2.813580988568192
smooth muscle cell,6.705384890826327,0.1695781884016731,2.057807429023164,2.416111685929694,Stromal,False,240.0,182.0,7.683490548596772,7.580995025675023,276.1244659423828,18425,1704,1704,0.1731147593615677,8482.0,0.0995,304.5387268066406,12.0,1599.0,12.0180365,100.0,mesoderm,0,0,2.236959557476429,211.0,7.6322427871358975,3.2314695904306814
hepatocyte,6.058640371671017,0.1590231780998607,1.4808903350009357,2.4032688531422988,Metabolic,False,250.0,150.0,7.633227834993807,7.4327332462009394,306.4292907714844,7414,4091,4091,0.1261657098895932,7757.0,0.012,235.14146423339844,1.0,2102.0,18.440287,100.0,endoderm,1,0,1.9420795940716173,200.0,7.532980540597373,3.6118294794983736
endothelial cell,5.971297637181498,0.1680719433521287,2.037885648471164,2.4208969418399175,Endothelial,False,257.0,203.0,7.749329849245866,7.59549061172089,268.5848388671875,33703,14822,14822,0.1671042878522136,8284.0,0.151,304.7225036621094,19.0,1397.0,14.617928499999996,100.0,mesoderm,0,0,2.2293912951555406,230.0,7.6724102304833774,4.170906808930748
