cell_type,k,S_pre,S_post,improvement
myeloid leukocyte,5,0.30471888368906286,0.18857794588010623,-0.11614093780895662
natural killer cell,1,0.014500365976288397,0.0159239345082006,0.0014235685319122036
natural killer cell,3,0.24591367851789,0.1411376255608321,-0.10477605295705791
natural killer cell,5,0.5696729674052536,0.2524256528663662,-0.31724731453888744
neutrophil,1,0.011361641960330163,0.0013623553301784978,-0.009999286630151665
neutrophil,3,0.33684243089702354,0.2257750992882579,-0.11106733160876564
neutrophil,5,0.3788135912011795,0.2808801958647081,-0.09793339533647144
non-classical monocyte,1,0.045086872200917644,0.06514434292792881,0.020057470727011167
non-classical monocyte,3,0.43047532355370155,0.1584577478888656,-0.272017575664836
non-classical monocyte,5,0.3615210059143724,0.2275091221768859,-0.13401188373748651
pancreatic acinar cell,1,0.5451972364604268,0.010638913738624568,-0.5345583227218023
pancreatic acinar cell,3,0.4933921331903373,0.2008712088812076,-0.2925209243091297
pancreatic acinar cell,5,0.5459192291595614,0.2300609146229345,-0.3158583145366269
pancreatic ductal cell,1,0.04014917271806871,0.0431356310427071,0.00298645832463839
pancreatic ductal cell,3,0.4874896566417737,0.26967158905623645,-0.21781806758553723
pancreatic ductal cell,5,0.6074742594379785,0.2644802981939347,-0.3429939612440438
plasma cell,1,0.24230396965148734,0.0523372380678287,-0.18996673158365865
plasma cell,3,0.4644955664333495,0.20809082956837288,-0.2564047368649766
plasma cell,5,0.5115923779659669,0.2635880413256348,-0.2480043366403321
smooth muscle cell,1,0.02482930432356879,0.009694946847307366,-0.015134357476261424
smooth muscle cell,3,0.4771462129075945,0.21231696389061458,-0.2648292490169799
smooth muscle cell,5,0.6247089965494083,0.29045080964654757,-0.3342581869028607
stromal cell,1,0.00041086137185488873,0.0009374159281002188,0.00052655455624533
stromal cell,3,0.2869047055095291,0.1425653785606935,-0.1443393269488356
stromal cell,5,0.38044236888703437,0.19160833187296264,-0.18883403701407173
