Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Axon Regeneration (GO:0048679),1/10,0.0099572476243861,0.0443444865132548,0,0,116.78947368421052,538.3357753631753,GRN
GO_Biological_Process_2023,Positive Regulation Of Defense Response To Bacterium (GO:1900426),1/10,0.0099572476243861,0.0443444865132548,0,0,116.78947368421052,538.3357753631753,GRN
GO_Biological_Process_2023,Basement Membrane Organization (GO:0071711),1/10,0.0099572476243861,0.0443444865132548,0,0,116.78947368421052,538.3357753631753,CTSS
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Activation (GO:0002695),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,GRN
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,ETS1
GO_Biological_Process_2023,Negative Regulation Of Fibroblast Proliferation (GO:0048147),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,FTH1
GO_Biological_Process_2023,Carbohydrate Derivative Transport (GO:1901264),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,NPC2
GO_Biological_Process_2023,Prostaglandin Biosynthetic Process (GO:0001516),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,CD74
GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,CTSZ
GO_Biological_Process_2023,Negative Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090201),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,GPX1
GO_Biological_Process_2023,Intracellular Cholesterol Transport (GO:0032367),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,NPC2
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,AIF1
GO_Biological_Process_2023,Heart Process (GO:0003015),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,GPX1
GO_Biological_Process_2023,Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,CD74
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Migration (GO:2000403),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,AIF1
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Activation (GO:0032814),1/16,0.0158863378646896,0.0458962407213971,0,0,70.05263157894737,290.1787210723924,TYROBP
GO_Biological_Process_2023,Rac Protein Signal Transduction (GO:0016601),1/17,0.0168712348172723,0.0458962407213971,0,0,65.67105263157895,268.0787715603985,AIF1
