drug_name,deformation,deformation_std,n_replicates
brd-a30395175,14459.667,3153.470527642452,3
brd-a30612536,14201.3125,6047.885207036799,3
brd-a30856524,17032.592,6730.609435553851,3
brd-a31429689,12652.113,3259.73840478107,3
brd-a31946439,14214.38,7196.02582864681,3
brd-a32214171,13055.964,1531.731510158572,3
brd-a32241587,9765.572,554.2046233896364,3
brd-a32440707,12116.913,3118.7931525005893,3
brd-a32449311,14998.516,1518.3090436558966,3
brd-a32917072,11933.849,4900.049534491412,3
brd-a34421300,13644.501,4107.611085677176,3
brd-a36059655,10312.906,2021.9119863161823,3
brd-a36275421,28823.875,7071.80115893737,2
brd-a37656721,13298.217,6347.9584205482,5
brd-a37735495,23043.94,,1
brd-a38425832,10362.418,619.5422405596701,2
brd-a38793261,14884.985,7999.962038959222,3
brd-a38936397,11307.093,666.1272438552221,3
brd-a39121618,15943.081,8770.763307531251,2
brd-a39599596,13354.122,3790.6395308956303,3
brd-a40431293,17126.69,1959.1095874375399,3
brd-a40560522,13890.727,838.0524141814866,3
brd-a41114263,13948.151,4405.576076707394,3
brd-a41649729,17686.998,2500.102650224638,6
brd-a41997916,9937.93,1008.5098083665628,3
brd-a42737819,9076.683,1180.2323047088748,3
brd-a42969626,10002.004,1763.3296044236627,3
brd-a43087975,9506.608,881.5120108275358,3
brd-a43188678,11632.859,953.3806069537935,3
brd-a43640821,9196.978,532.6055269376784,3
brd-a43805296,15896.581,10433.740198549443,3
brd-a43885598,13350.544,1947.721790823568,3
brd-a44244100,17980.072,3183.6248814137875,6
brd-a45206415,9320.18,528.3784751898132,3
brd-a45657137,16069.294,1867.0861882125878,3
brd-a47832959,16985.95,9992.75707299203,2
brd-a49581300,10883.589,705.150522185717,3
brd-a51929314,9785.549,783.564773504241,2
brd-a52771319,12110.862,1777.5208691264759,3
brd-a54077041,13367.11,2466.858405090086,3
brd-a54632525,14330.527,2041.231523648708,2
brd-a55609290,13854.888,579.7597835656185,3
brd-a56800788,10287.055,1320.5014285982977,3
brd-a57107094,11085.883,1552.0800067200753,6
brd-a57300602,11563.0,880.1348283590327,3
brd-a58482795,13214.978,2233.4713492026476,3
brd-a59145032,15906.636,1318.4767429465492,3
brd-a59728941,20952.271,2293.1139802857224,6
brd-a60386802,15817.562,6609.328025464878,3
brd-a60784279,10043.817,1074.8267935310257,3
brd-a61189834,16112.6455,2210.8204502200774,3
brd-a61599461,15403.665,9481.248847539115,3
brd-a61825514,12512.175,2486.99427866153,3
brd-a62496920,17230.201,12285.719789323763,3
brd-a62647958,14914.22,786.433118495778,3
brd-a63949900,14523.534,6102.439658754795,3
brd-a65516924,13017.86,1898.6293495553343,3
brd-a66604020,11601.735,3143.8998629384155,3
brd-a66846505,17324.434,12080.09647874689,3
brd-a66861218,16782.303,5811.790407628436,6
brd-a68061604,12356.4795,2846.605059680278,3
brd-a68274214,10662.136,861.5630637599544,3
brd-a68721828,11984.411,2424.8446412130797,3
brd-a69421747,9274.793,895.9156411014617,3
brd-a69429454,12982.62,575.3398448575426,3
brd-a70311631,10170.912,2500.991848066933,3
brd-a70591769,12130.394,1059.4419296413892,3
brd-a70879086,10420.659,1377.37872394001,3
brd-a71339955,12834.22,2991.838689785912,3
brd-a71707563,13854.375,6272.47356659119,2
brd-a73747855,13876.556,1104.2428090426563,3
brd-a74608937,14877.308,814.650192220855,3
brd-a74699940,10990.871,1035.4403510719978,3
brd-a75106577,13511.418,458.6689842473062,3
brd-a75301702,13237.234,4920.006470466284,3
brd-a75471153,13237.325,3903.85658822396,3
brd-a75558199,16622.428,8708.403823808634,3
brd-a77577770,10843.872,1212.7539871566796,3
brd-a77704559,11419.204,2322.3507067977425,3
brd-a81045722,11420.323,2074.817671790046,3
brd-a81282034,13679.88,874.4052638866358,3
brd-a81372523,9157.62,967.8572533952929,3
brd-a81377415,16673.39,9467.523685782602,3
brd-a81389811,19323.209,9241.180594928888,2
brd-a81416315,15167.237,9131.415676006085,3
brd-a81530502,10145.317,980.6776440486,3
brd-a81936046,14067.851,3883.627740248774,3
brd-a82197375,11500.828,3531.9583531200437,3
brd-a82628254,15077.835,9117.473129470003,3
brd-a82913781,15760.648,1504.9540949189998,3
brd-a82976242,16402.764,1702.7680418868397,3
brd-a83255679,16407.414,10917.199765990956,3
brd-a83402799,12693.48,2663.703876758501,6
brd-a83706824,13568.432,372.07282102749446,2
brd-a83993876,11276.0625,2304.843030461419,3
brd-a84102390,11288.108,2259.9887409199814,3
brd-a84445767,14757.737,3566.986208594997,3
brd-a84524947,15208.907,677.1962128300961,3
brd-a85712510,11409.7,3244.4361339656675,3
brd-a85891951,11010.184,1078.794124063479,3
brd-a86792397,11530.522,2214.61278974157,3
brd-a87455648,15613.497,9132.884843574684,2
brd-a88878656,20919.053,4595.503329708727,3
brd-a89049230,13495.777,3768.190597612671,3
brd-a89067742,12122.636,4177.519097762492,3
brd-a89208012,26555.365,13846.322562690042,3
brd-a89333723,13760.583,1448.4552005444282,3
brd-a89494828,11196.239,151.7735158588531,3
brd-a89907244,10195.179,2249.709475477389,3
brd-a90643929,13834.53,5885.598689249397,3
brd-a93015352,9390.074,1560.1176757033368,3
brd-a93507363,9880.278,859.3745924916543,3
brd-a93975555,12115.587,,1
brd-a94297859,12175.458,766.9069533603606,3
brd-a94381689,11650.495,3219.360480623528,3
brd-a94546435,20684.92,4154.729941164123,6
brd-a94567954,14575.421,1096.113899089046,3
brd-a94570195,9333.134,403.8088086413204,3
brd-a95795120,14005.049,1020.3613000578821,2
brd-a95820578,10960.914,226.54765897633146,3
brd-a95937159,11376.704,2434.3991343304474,6
brd-a95944315,15665.007,6049.146801414467,3
brd-a96006241,15290.677,944.5800847160185,3
brd-a96272097,11737.739,1594.4263546845602,2
brd-a96746500,14594.34,8823.222427962597,3
brd-a96749488,13204.618,5138.8283803357635,3
brd-a98248982,15822.515,4233.818944197952,3
brd-a98444709,9161.051,127.08656163706387,2
brd-a98777808,12991.578,1096.6227765863925,3
brd-a99218607,10412.87,1933.8589709031887,3
brd-a99518825,12543.833,2801.341074154029,6
brd-k00007652,13577.612,1275.775897472932,3
brd-k00028814,14918.706,7811.104466416254,3
brd-k00256256,14716.867,1015.5412131596883,3
brd-k00289828,11857.859,2955.4430687297863,3
brd-k00313977,10235.247,1270.5821559849928,3
brd-k00366212,14052.715,3673.5991702637107,3
brd-k00390580,11820.324,712.3403381148804,2
brd-k00429057,11520.359,2141.859071138665,3
brd-k00430421,10069.267,249.34469249569685,3
brd-k00442147,8434.078,452.75308328031014,2
brd-k00541156,16083.887,1823.9252282876748,3
brd-k00555438,12804.926,4131.681051367891,3
brd-k00637033,15247.98,9077.66836977569,3
brd-k00640357,20928.379,3741.3029610828976,17
brd-k00910650,17248.512,3713.7594959742814,3
brd-k00954209,10844.993,394.5856561611864,3
brd-k01089529,15446.233,1842.3657318160942,3
brd-k01121114,14628.118,3893.897163434617,3
brd-k01229043,15457.74,971.3720583738016,2
brd-k01265221,14254.383,2218.300614248351,3
brd-k01333970,16994.834,12142.495115556429,3
brd-k01621458,21601.428,850.9060514846016,3
brd-k01737880,18603.46,1037.8037023658262,3
brd-k01800709,10032.972,1895.9265298356136,3
brd-k01806521,8583.769,184.4303695996391,3
brd-k01834163,10832.544,1429.5956655123657,3
brd-k01896723,18285.018,7056.483876658425,3
brd-k02174945,10187.286,404.5340859492641,3
brd-k02175743,9950.966,804.8937027489101,3
brd-k02216544,15095.778,6550.952912990827,3
brd-k02269790,23818.438,3812.278083272741,6
brd-k02313433,17440.072,12722.080503748053,3
brd-k02381115,13699.836,4387.6159344109265,3
brd-k02437976,12022.917,1064.6733972054133,3
brd-k02502363,13153.94,3218.957678137478,3
brd-k02598395,15578.281,4119.050436348317,3
brd-k02641134,10342.201,2268.310788828726,3
brd-k02735834,8630.125,2080.477481294122,3
brd-k02920722,13104.95,1424.0972111360027,3
brd-k02969269,15065.269,4374.543344427954,3
brd-k02986291,14131.122,660.278538213185,3
brd-k03122949,12778.727,1917.7812701066061,3
brd-k03176945,14026.942,2621.069943008269,3
brd-k03339442,9582.536,1189.603759200954,3
brd-k03358980,14312.23,4049.5051468014467,3
brd-k03601405,18790.799,7268.1761394146815,3
brd-k03651937,14109.778,3399.768438861945,3
brd-k03704870,14346.954,325.0345571871902,3
brd-k03829970,11930.008,1208.7052691369083,3
brd-k03857568,12073.421,1426.2598994000389,3
brd-k04136539,14655.026,1526.8042950562824,3
brd-k04156788,16717.664,6865.4837378195,3
brd-k04188046,12685.422,711.456523069105,3
brd-k04279026,12567.815,5260.315997179789,3
brd-k04363266,15125.913,1020.8072805084181,3
brd-k04516579,8105.3516,398.3046644420676,3
brd-k04676863,9928.176,2940.2036346649156,3
brd-k04695623,14507.62,2025.6533826027348,3
brd-k04930762,16280.462,7494.481132701066,3
brd-k05002121,16858.248,11310.237280089796,3
brd-k05197617,19402.412,3395.6883984169885,3
brd-k05331696,13790.683,1142.4666549269823,3
brd-k05359840,17256.225,10373.69465954697,3
brd-k05452595,12775.522,1214.288211229522,3
brd-k05520923,10580.875,1308.3971215548863,3
brd-k05549170,14469.895,8262.885487253503,3
brd-k05593511,11393.867,4017.063428162255,3
brd-k05672354,10111.343,1188.9770215721373,3
brd-k05684908,16653.79,2198.610788302839,3
brd-k05861053,11259.702,227.03183174662607,3
brd-k05979026,11184.206,3518.660936499195,3
brd-k06071925,12867.539,3680.0774909718475,3
brd-k06186994,18167.523,4067.3210192996085,3
brd-k06206016,10679.312,2293.122550757254,3
brd-k06217810,14736.884,1542.8064735123362,3
brd-k06311439,10286.896,1793.8231757873627,3
brd-k06405410,14645.765,3320.7445522939893,3
brd-k06432680,15606.808,453.89663879338946,3
brd-k06436323,16980.252,11045.940932369289,3
brd-k06476055,10621.324,1167.9315124572993,3
brd-k06555716,7754.8154,250.89895647432692,2
brd-k06592610,18022.346,8739.410757187428,3
brd-k06623064,10473.226,1044.815086848659,3
brd-k06765193,15720.185,1148.8784523685401,6
brd-k07005393,18294.875,273.40115329254496,3
brd-k07061353,19421.182,11122.201333125358,2
brd-k07079548,10052.589,941.2953940583368,3
brd-k07161233,11527.12,2856.264888134029,3
brd-k07259155,15417.151,1412.1732346688398,3
brd-k07395346,13069.583,3052.3594956464244,3
brd-k07398339,14353.583,1290.1385763710837,3
brd-k07452532,12498.02,1845.0295822114392,3
brd-k07515761,12687.009,4156.665417514249,3
brd-k07521754,20216.871,11767.140031886667,2
brd-k07872006,8189.311,490.03939890503693,3
brd-k07877311,9490.341,2375.8149103949445,2
