compound_name,dili_class,matched_name,drug_name,deformation,deformation_std,n_replicates
Tolazamide,less-concern,tolazamide,tolazamide,14064.12,3294.7313994252404,6
Tolbutamide,ambiguous,tolbutamide,tolbutamide,16982.553,9690.723731068236,2
Tolmetin sodium,less-concern,tolmetin,tolmetin,15302.17,5263.580831365947,5
Toremifene citrate,ambiguous,toremifene,toremifene,17649.363,5163.590927489663,14
Tramadol hydrochloride,less-concern,tramadol,tramadol,11758.887,1290.8301636715848,4
Trazodone hydrochloride,less-concern,trazodone,trazodone,17129.992,4574.432330138759,6
Tretinoin,less-concern,tretinoin,tretinoin,12150.666,6084.245391931955,5
Triamterene,less-concern,triamterene,triamterene,11440.696,459.2299466144305,2
Trifluoperazine hydrochloride,less-concern,trifluoperazine,trifluoperazine,13777.008,1690.5126336999408,3
Trimethobenzamide hydrochloride,ambiguous,trimethobenzamide,trimethobenzamide,13722.834,2947.6153588801176,2
